id,name,species,gender,height,mass,hair_color,eye_color,skin_color,birth_year,homeworld,year_died,description,birth_year_num,is_human
26,jax windu,human,female,1.94,83.5,brown,brown,fair,12.5BBY,exegol,,A Human Female from Exegol.,12.5,Human
27,fiv cloud,jawa,female,,11.7,,yellow,brown,173.2BBY,exegol,,A Jawa Female from Exegol.,173.2,Non-Human
28,k-2 cody,gungan,female,,66.2,,yellow,orange,379.7ABY,rodia,,A Gungan Female from Rodia.,-379.7,Non-Human
29,luma vader,human,female,,91.9,auburn,green,light,345.0ABY,hoth,369.7,A Human Female from Hoth.,-345.0,Human
30,k-2 fett,human,male,1.61,66.5,auburn,blue,light,191.5BBY,mon cala,,A Human Male from Mon Cala.,191.5,Human
31,kit cody,rodian,male,1.72,67.6,,black,green,111.1BBY,naboo,,A Rodian Male from Naboo.,111.1,Non-Human
32,voolv fett,gungan,male,1.92,65.4,,orange,brown,unknown,dagobah,521.0,A Gungan Male from Dagobah.,,Non-Human
33,baze dark,rodian,male,1.6,50.5,,black,blue-green,404.3BBY,exegol,,A Rodian Male from Exegol.,404.3,Non-Human
34,yora solo,rodian,male,1.64,76.1,,black,green,171.2BBY,kamino,212.7,A Rodian Male from Kamino.,171.2,Non-Human
35,poe moon,zabrak,female,1.78,78.4,,red,red,298.2BBY,dagobah,,A Zabrak Female from Dagobah.,298.2,Non-Human
36,dax ginn,twi'lek,female,1.66,75.5,,brown,yellow,135.1BBY,naboo,,A Twi'lek Female from Naboo.,135.1,Non-Human
37,ahs talon,human,female,1.69,61.3,brown,hazel,light,unknown,mon cala,390.3,A Human Female from Mon Cala.,,Human
38,bodhi sky,hutt,hermaphrodite,,998.3,,yellow,green,unknown,dagobah,467.1,A Hutt Hermaphrodite from Dagobah.,,Non-Human
39,padm star,hutt,hermaphrodite,4.09,1238.0,,yellow,green,191.8BBY,exegol,241.7,A Hutt Hermaphrodite from Exegol.,191.8,Non-Human
41,luma organa,twi'lek,female,1.65,69.5,,blue,green,unknown,sullust,,A Twi'lek Female from Sullust.,,Non-Human
42,bail fisto,mon calamari,female,1.82,77.8,,orange,salmon,89.1BBY,kamino,178.5,A Mon Calamari Female from Kamino.,89.1,Non-Human
43,kit organa,ewok,female,1.06,21.8,brown,brown,pink,unknown,dagobah,391.8,A Ewok Female from Dagobah.,,Non-Human
44,fox moon,human,female,1.51,46.5,brown,green,light,298.7ABY,mon cala,,A Human Female from Mon Cala.,-298.7,Human
45,elow ginn,rodian,male,1.87,51.5,,black,blue-green,474.4BBY,mon cala,,A Rodian Male from Mon Cala.,474.4,Non-Human
46,finn sky,twi'lek,male,1.85,59.7,,brown,pink,367.0BBY,rodia,,A Twi'lek Male from Rodia.,367.0,Non-Human
47,voolv ginn,human,female,1.56,,auburn,hazel,tan,332.3BBY,jakku,,A Human Female from Jakku.,332.3,Human
48,baze fisto,human,male,1.77,99.3,,grey,tan,unknown,exegol,244.4,A Human Male from Exegol.,,Human
49,k-2 windu,human,male,,73.1,auburn,hazel,pale,412.3BBY,bespin,470.5,A Human Male from Bespin.,412.3,Human
50,kira sun,wookiee,male,2.17,121.4,black,blue,brown,335.1BBY,geonosis,375.4,A Wookiee Male from Geonosis.,335.1,Non-Human
51,kira mothma,human,male,1.53,85.4,grey,brown,fair,64.2BBY,geonosis,124.6,A Human Male from Geonosis.,64.2,Human
52,qui windu,mon calamari,male,1.78,71.0,,orange,blue,unknown,naboo,59.9,A Mon Calamari Male from Naboo.,,Non-Human
53,sora rex,zabrak,female,1.71,74.0,,yellow,tan,39.0BBY,kashyyyk,,A Zabrak Female from Kashyyyk.,39.0,Non-Human
54,jax cody,hutt,hermaphrodite,2.78,1196.0,,yellow,brown,373.0BBY,exegol,,A Hutt Hermaphrodite from Exegol.,373.0,Non-Human
55,jyn light,ewok,female,0.67,20.9,black,black,brown,273.7BBY,geonosis,,A Ewok Female from Geonosis.,273.7,Non-Human
56,finn moon,human,female,1.54,110.4,auburn,brown,light,unknown,takodana,217.2,A Human Female from Takodana.,,Human
57,cass cody,mon calamari,female,,78.0,,yellow,brown,295.0BBY,mon cala,384.9,A Mon Calamari Female from Mon Cala.,295.0,Non-Human
58,cody kenobi,mon calamari,female,1.78,,,blue,blue,198.8BBY,sullust,242.5,A Mon Calamari Female from Sullust.,198.8,Non-Human
59,sora wind,ewok,female,0.98,22.9,brown,brown,brown,358.3BBY,rodia,387.1,A Ewok Female from Rodia.,358.3,Non-Human
60,bail moon,gungan,male,1.89,,,yellow,brown,194.6BBY,sullust,218.3,A Gungan Male from Sullust.,194.6,Non-Human
61,shaak sun,human,male,1.95,98.2,black,blue,fair,282.9BBY,kashyyyk,370.2,A Human Male from Kashyyyk.,282.9,Human
62,zen organa,ewok,female,,,black,black,pink,264.0BBY,kamino,,A Ewok Female from Kamino.,264.0,Non-Human
63,voolv storm,twi'lek,male,1.78,65.6,,yellow,white,266.3BBY,geonosis,306.7,A Twi'lek Male from Geonosis.,266.3,Non-Human
64,mon sky,wookiee,female,2.11,,black,brown,brown,310.2BBY,rodia,342.8,A Wookiee Female from Rodia.,310.2,Non-Human
65,kira andor,zabrak,female,1.79,85.0,black,brown,yellow,136.9BBY,tatooine,,A Zabrak Female from Tatooine.,136.9,Non-Human
66,jyn fisto,gungan,male,1.74,,,yellow,brown,38.9BBY,coruscant,,A Gungan Male from Coruscant.,38.9,Non-Human
67,poe ginn,human,female,1.68,72.4,brown,hazel,tan,340.5BBY,coruscant,425.8,A Human Female from Coruscant.,340.5,Human
68,padm walker,wookiee,male,2.22,102.6,grey,blue,brown,148.7BBY,bespin,237.0,A Wookiee Male from Bespin.,148.7,Non-Human
69,dax ginn,zabrak,female,1.66,71.2,black,brown,tan,281.3BBY,exegol,346.7,A Zabrak Female from Exegol.,281.3,Non-Human
70,bodhi moon,human,female,1.61,72.7,auburn,brown,dark,130.2BBY,sullust,,A Human Female from Sullust.,130.2,Human
71,rex fett,gungan,male,1.75,81.1,,yellow,orange,unknown,mon cala,49.1,A Gungan Male from Mon Cala.,,Non-Human
72,qui storm,mon calamari,male,1.89,66.9,,yellow,blue,unknown,coruscant,,A Mon Calamari Male from Coruscant.,,Non-Human
73,k-2 organa,human,female,1.79,71.2,brown,green,fair,139.6BBY,geonosis,186.9,A Human Female from Geonosis.,139.6,Human
74,rey storm,zabrak,female,1.73,70.1,black,red,red,239.1ABY,kamino,,A Zabrak Female from Kamino.,-239.1,Non-Human
75,kit talon,human,male,1.42,91.6,,green,dark,265.0BBY,bothawui,,A Human Male from Bothawui.,265.0,Human
76,padm dark,mon calamari,female,1.8,75.0,,yellow,salmon,202.8BBY,dagobah,280.5,A Mon Calamari Female from Dagobah.,202.8,Non-Human
77,rex cloud,human,female,1.85,76.6,black,green,fair,319.3BBY,crait,,A Human Female from Crait.,319.3,Human
78,elow mothma,twi'lek,female,1.65,58.8,,green,red,430.8BBY,sullust,468.1,A Twi'lek Female from Sullust.,430.8,Non-Human
79,yora star,human,female,1.64,80.6,blond,brown,pale,unknown,coruscant,427.6,A Human Female from Coruscant.,,Human
80,poe solo,rodian,male,,54.2,,black,green,332.4BBY,jakku,426.4,A Rodian Male from Jakku.,332.4,Non-Human
81,chir erso,gungan,male,,69.6,,orange,brown,367.0ABY,dagobah,,A Gungan Male from Dagobah.,-367.0,Non-Human
82,jax fett,human,female,1.77,75.3,grey,blue,dark,491.5ABY,exegol,580.7,A Human Female from Exegol.,-491.5,Human
83,toro dameron,human,female,,95.0,auburn,brown,pale,392.0BBY,tatooine,433.7,A Human Female from Tatooine.,392.0,Human
84,k-2 wind,hutt,hermaphrodite,3.67,1210.0,,orange,brown,39.3BBY,mon cala,99.1,A Hutt Hermaphrodite from Mon Cala.,39.3,Non-Human
85,zen cody,zabrak,male,,75.4,black,yellow,red,278.8ABY,crait,309.1,A Zabrak Male from Crait.,-278.8,Non-Human
86,poe fisto,human,female,1.62,71.8,,blue,light,395.9ABY,kamino,434.7,A Human Female from Kamino.,-395.9,Human
87,mon organa,ewok,male,0.94,18.3,white,brown,brown,421.1BBY,mon cala,492.6,A Ewok Male from Mon Cala.,421.1,Non-Human
88,qui sky,zabrak,female,1.75,89.1,black,yellow,red,372.2BBY,dagobah,450.2,A Zabrak Female from Dagobah.,372.2,Non-Human
89,jax koon,rodian,male,1.54,60.7,,black,blue-green,354.9BBY,bespin,,A Rodian Male from Bespin.,354.9,Non-Human
90,jax ginn,rodian,female,1.76,,,black,green,194.6ABY,tatooine,,A Rodian Female from Tatooine.,-194.6,Non-Human
91,baze sky,mon calamari,female,,77.3,,blue,salmon,unknown,mon cala,,A Mon Calamari Female from Mon Cala.,,Non-Human
92,ahs andor,twi'lek,female,,55.4,,yellow,red,145.5BBY,exegol,,A Twi'lek Female from Exegol.,145.5,Non-Human
93,bail ti,wookiee,male,2.11,124.2,white,brown,dark,359.4BBY,rodia,,A Wookiee Male from Rodia.,359.4,Non-Human
94,mika wind,mon calamari,male,1.77,72.6,,blue,brown,102.8BBY,mon cala,,A Mon Calamari Male from Mon Cala.,102.8,Non-Human
96,fox organa,hutt,hermaphrodite,4.71,1562.8,,yellow,green,283.4ABY,mon cala,,A Hutt Hermaphrodite from Mon Cala.,-283.4,Non-Human
97,zen born,rodian,female,1.74,,,black,blue-green,298.6BBY,dagobah,,A Rodian Female from Dagobah.,298.6,Non-Human
98,cass walker,jawa,female,1.01,27.1,,orange,unknown,53.9BBY,takodana,,A Jawa Female from Takodana.,53.9,Non-Human
99,rex light,human,male,1.58,,blond,green,dark,109.3BBY,sullust,,A Human Male from Sullust.,109.3,Human
100,zen dark,mon calamari,male,1.86,75.4,,orange,salmon,306.6BBY,kashyyyk,,A Mon Calamari Male from Kashyyyk.,306.6,Non-Human
101,zen amidala,human,female,1.85,,grey,green,tan,150.8BBY,geonosis,182.9,A Human Female from Geonosis.,150.8,Human
105,plo koon,jawa,male,,38.6,,yellow,brown,42.1BBY,endor,,A Jawa Male from Endor.,42.1,Non-Human
106,kira ginn,gungan,female,1.83,68.4,,orange,brown,429.9BBY,takodana,,A Gungan Female from Takodana.,429.9,Non-Human
107,kit ti,human,male,1.78,65.9,auburn,green,pale,133.4ABY,rodia,170.3,A Human Male from Rodia.,-133.4,Human
108,sora cody,human,male,1.74,84.7,blond,brown,tan,384.6BBY,tatooine,459.2,A Human Male from Tatooine.,384.6,Human
109,fox talon,gungan,male,1.82,74.6,,yellow,orange,164.1BBY,hoth,202.2,A Gungan Male from Hoth.,164.1,Non-Human
110,zen mothma,human,male,1.72,93.9,brown,grey,fair,234.1BBY,exegol,,A Human Male from Exegol.,234.1,Human
111,rex cody,gungan,female,1.83,66.1,,orange,brown,412.0ABY,dagobah,,A Gungan Female from Dagobah.,-412.0,Non-Human
112,jax organa,twi'lek,male,1.74,,,blue,blue,60.6BBY,rodia,123.7,A Twi'lek Male from Rodia.,60.6,Non-Human
113,rey dark,wookiee,male,2.1,105.5,black,blue,dark,456.9BBY,rodia,539.8,A Wookiee Male from Rodia.,456.9,Non-Human
114,sora windu,human,female,1.78,,black,hazel,fair,92.6BBY,exegol,,A Human Female from Exegol.,92.6,Human
115,sora wind,human,male,1.59,87.7,blond,grey,pale,355.0BBY,rodia,,A Human Male from Rodia.,355.0,Human
116,mon fisto,gungan,male,1.84,62.6,,yellow,orange,unknown,exegol,268.2,A Gungan Male from Exegol.,,Non-Human
117,kira talon,wookiee,male,2.15,164.6,black,brown,dark,32.7BBY,coruscant,81.6,A Wookiee Male from Coruscant.,32.7,Non-Human
118,bodhi solo,rodian,male,1.89,62.5,,black,green,141.8BBY,kashyyyk,184.4,A Rodian Male from Kashyyyk.,141.8,Non-Human
119,mon born,ewok,male,1.08,20.9,grey,black,brown,67.2BBY,kashyyyk,133.6,A Ewok Male from Kashyyyk.,67.2,Non-Human
120,cody storm,jawa,female,1.17,27.4,,yellow,brown,391.8BBY,coruscant,,A Jawa Female from Coruscant.,391.8,Non-Human
121,sora moon,human,female,1.82,109.1,grey,grey,dark,222.3BBY,tatooine,255.9,A Human Female from Tatooine.,222.3,Human
122,kira storm,human,male,1.73,68.4,auburn,green,pale,433.7BBY,mon cala,503.2,A Human Male from Mon Cala.,433.7,Human
123,zen kenobi,human,male,1.71,,,hazel,light,229.2BBY,alderaan,,A Human Male from Alderaan.,229.2,Human
124,rey erso,jawa,female,1.02,,,orange,brown,443.6BBY,rodia,537.4,A Jawa Female from Rodia.,443.6,Non-Human
125,yora dark,human,male,1.71,43.5,blond,brown,tan,351.5ABY,kamino,450.9,A Human Male from Kamino.,-351.5,Human
126,kit tano,ewok,male,1.05,23.9,black,black,pink,79.8BBY,sullust,,A Ewok Male from Sullust.,79.8,Non-Human
127,fiv solo,human,female,2.1,84.2,blond,brown,light,489.1BBY,takodana,,A Human Female from Takodana.,489.1,Human
128,voolv solo,human,male,1.7,75.7,black,hazel,tan,419.7BBY,endor,461.9,A Human Male from Endor.,419.7,Human
129,jyn tano,rodian,male,1.72,77.4,,black,green,140.8BBY,endor,221.6,A Rodian Male from Endor.,140.8,Non-Human
130,kira windu,hutt,hermaphrodite,3.07,1146.0,,yellow,green,unknown,kashyyyk,,A Hutt Hermaphrodite from Kashyyyk.,,Non-Human
131,mace cody,gungan,female,1.86,67.3,,orange,orange,unknown,bespin,,A Gungan Female from Bespin.,,Non-Human
132,voolv talon,human,female,1.93,73.4,blond,grey,fair,456.8BBY,jakku,,A Human Female from Jakku.,456.8,Human
133,padm ti,human,male,,83.1,,brown,light,207.4BBY,alderaan,248.9,A Human Male from Alderaan.,207.4,Human
134,rex sky,human,male,1.79,90.7,blond,blue,tan,52.7ABY,mon cala,,A Human Male from Mon Cala.,-52.7,Human
135,cody cody,twi'lek,female,1.8,63.2,,green,green,388.0ABY,takodana,471.2,A Twi'lek Female from Takodana.,-388.0,Non-Human
136,yora sun,human,male,1.58,64.9,auburn,brown,tan,unknown,endor,,A Human Male from Endor.,,Human
137,finn windu,hutt,hermaphrodite,3.26,1249.8,,orange,brown,44.7BBY,rodia,78.0,A Hutt Hermaphrodite from Rodia.,44.7,Non-Human
138,shaak mothma,hutt,hermaphrodite,3.74,1506.0,,yellow,tan,407.0BBY,coruscant,,A Hutt Hermaphrodite from Coruscant.,407.0,Non-Human
139,yora sky,mon calamari,female,1.83,69.6,,blue,salmon,unknown,alderaan,,A Mon Calamari Female from Alderaan.,,Non-Human
140,mon storm,mon calamari,female,1.75,83.5,,orange,brown,147.7BBY,tatooine,,A Mon Calamari Female from Tatooine.,147.7,Non-Human
141,chir kenobi,jawa,female,0.91,25.3,,orange,unknown,304.7ABY,bothawui,366.5,A Jawa Female from Bothawui.,-304.7,Non-Human
142,bodhi organa,twi'lek,male,1.8,87.6,,blue,blue,38.7BBY,exegol,,A Twi'lek Male from Exegol.,38.7,Non-Human
143,toro vader,gungan,female,2.05,73.6,,yellow,brown,277.9BBY,rodia,,A Gungan Female from Rodia.,277.9,Non-Human
144,baze cody,mon calamari,female,,71.5,,blue,blue,41.5BBY,takodana,,A Mon Calamari Female from Takodana.,41.5,Non-Human
145,zen vader,rodian,female,1.6,63.1,,black,green,388.8ABY,kashyyyk,,A Rodian Female from Kashyyyk.,-388.8,Non-Human
146,chir tano,ewok,male,0.94,15.8,brown,black,pink,293.6ABY,takodana,347.4,A Ewok Male from Takodana.,-293.6,Non-Human
147,mon vader,human,male,1.69,64.8,blond,green,fair,52.8ABY,jakku,,A Human Male from Jakku.,-52.8,Human
148,mika mothma,jawa,female,1.14,45.0,,yellow,unknown,243.2BBY,coruscant,316.0,A Jawa Female from Coruscant.,243.2,Non-Human
149,fiv koon,human,female,1.75,88.3,,grey,fair,255.3BBY,jakku,302.1,A Human Female from Jakku.,255.3,Human
150,dax walker,wookiee,female,2.12,107.5,white,brown,brown,473.2BBY,bothawui,,A Wookiee Female from Bothawui.,473.2,Non-Human
151,echo dark,ewok,male,0.99,19.2,brown,brown,pink,442.6BBY,naboo,,A Ewok Male from Naboo.,442.6,Non-Human
152,voolv dark,hutt,hermaphrodite,3.14,1418.0,,orange,brown,unknown,bothawui,357.5,A Hutt Hermaphrodite from Bothawui.,,Non-Human
153,k-2 sky,human,male,2.04,,black,blue,pale,unknown,dagobah,,A Human Male from Dagobah.,,Human
154,sora light,twi'lek,female,1.92,47.0,,brown,pink,239.0BBY,geonosis,268.5,A Twi'lek Female from Geonosis.,239.0,Non-Human
155,rey talon,rodian,male,1.82,69.6,,black,green,42.7BBY,kashyyyk,94.2,A Rodian Male from Kashyyyk.,42.7,Non-Human
156,toro storm,ewok,male,0.95,21.2,grey,brown,pink,390.0ABY,kamino,,A Ewok Male from Kamino.,-390.0,Non-Human
157,poe fisto,rodian,female,1.67,65.8,,black,blue-green,452.5BBY,crait,,A Rodian Female from Crait.,452.5,Non-Human
158,saw moon,hutt,hermaphrodite,3.13,1507.0,,orange,brown,438.7BBY,endor,491.0,A Hutt Hermaphrodite from Endor.,438.7,Non-Human
159,rex solo,jawa,male,0.73,32.1,,yellow,brown,101.4BBY,crait,201.1,A Jawa Male from Crait.,101.4,Non-Human
161,qui tano,rodian,male,1.47,69.7,,black,blue-green,450.1BBY,hoth,,A Rodian Male from Hoth.,450.1,Non-Human
162,zen kenobi,twi'lek,female,1.83,57.2,,green,green,301.1ABY,rodia,380.5,A Twi'lek Female from Rodia.,-301.1,Non-Human
163,voolv erso,gungan,male,1.98,90.6,,orange,brown,25.1BBY,dagobah,,A Gungan Male from Dagobah.,25.1,Non-Human
164,luma cloud,rodian,male,1.65,44.5,,black,green,155.0BBY,alderaan,,A Rodian Male from Alderaan.,155.0,Non-Human
166,echo ti,wookiee,female,2.21,138.6,brown,blue,dark,40.2BBY,exegol,,A Wookiee Female from Exegol.,40.2,Non-Human
167,yora cloud,human,male,1.96,64.1,blond,grey,fair,367.3BBY,crait,,A Human Male from Crait.,367.3,Human
168,jax fisto,wookiee,male,2.28,103.8,black,blue,brown,48.7BBY,jakku,120.5,A Wookiee Male from Jakku.,48.7,Non-Human
169,rey kenobi,ewok,male,0.94,17.9,grey,black,pink,145.6BBY,bespin,204.9,A Ewok Male from Bespin.,145.6,Non-Human
170,jyn fett,gungan,male,1.92,74.8,,yellow,brown,302.3BBY,sullust,342.8,A Gungan Male from Sullust.,302.3,Non-Human
171,mace dameron,human,male,1.97,,brown,brown,dark,163.5BBY,coruscant,,A Human Male from Coruscant.,163.5,Human
172,yora wind,gungan,female,1.95,77.7,,orange,brown,106.4BBY,kashyyyk,194.2,A Gungan Female from Kashyyyk.,106.4,Non-Human
173,k-2 mothma,hutt,hermaphrodite,3.43,1011.3,,orange,brown,87.6BBY,coruscant,,A Hutt Hermaphrodite from Coruscant.,87.6,Non-Human
174,toro ti,wookiee,male,2.06,,grey,blue,brown,223.6ABY,crait,,A Wookiee Male from Crait.,-223.6,Non-Human
175,saw talon,twi'lek,female,1.85,51.0,,yellow,green,438.8BBY,sullust,,A Twi'lek Female from Sullust.,438.8,Non-Human
176,rex light,zabrak,male,1.83,102.9,black,red,red,unknown,crait,,A Zabrak Male from Crait.,,Non-Human
177,fox koon,twi'lek,female,1.71,,,green,pink,490.7ABY,hoth,,A Twi'lek Female from Hoth.,-490.7,Non-Human
178,padm tano,human,male,1.78,,,hazel,pale,126.0ABY,naboo,,A Human Male from Naboo.,-126.0,Human
179,fiv ginn,mon calamari,male,,85.5,,blue,salmon,192.3ABY,tatooine,,A Mon Calamari Male from Tatooine.,-192.3,Non-Human
180,voolv rex,mon calamari,female,1.82,73.0,,yellow,salmon,274.0BBY,endor,302.3,A Mon Calamari Female from Endor.,274.0,Non-Human
181,toro tano,wookiee,male,2.03,85.3,black,blue,brown,341.6BBY,bothawui,414.8,A Wookiee Male from Bothawui.,341.6,Non-Human
182,chir andor,wookiee,male,,123.6,white,brown,brown,245.8BBY,exegol,341.1,A Wookiee Male from Exegol.,245.8,Non-Human
183,fiv wind,human,female,1.73,,brown,green,pale,491.5BBY,tatooine,519.8,A Human Female from Tatooine.,491.5,Human
184,mon walker,rodian,male,1.77,72.1,,black,blue-green,398.6BBY,kashyyyk,,A Rodian Male from Kashyyyk.,398.6,Non-Human
185,mika moon,human,female,1.9,,,green,fair,113.9BBY,tatooine,185.0,A Human Female from Tatooine.,113.9,Human
186,jax cody,twi'lek,female,1.76,67.5,,green,blue,411.5BBY,geonosis,462.0,A Twi'lek Female from Geonosis.,411.5,Non-Human
187,luma ti,human,female,1.71,60.3,auburn,hazel,tan,318.3BBY,coruscant,,A Human Female from Coruscant.,318.3,Human
188,poe sky,human,female,1.94,94.9,blond,blue,tan,322.7BBY,bothawui,,A Human Female from Bothawui.,322.7,Human
190,mika ti,rodian,male,1.78,64.8,,black,green,343.6BBY,crait,,A Rodian Male from Crait.,343.6,Non-Human
191,qui wind,mon calamari,female,,71.4,,yellow,salmon,158.7BBY,takodana,,A Mon Calamari Female from Takodana.,158.7,Non-Human
192,luma tano,human,male,1.91,92.1,blond,brown,tan,466.8BBY,dagobah,,A Human Male from Dagobah.,466.8,Human
193,zen wind,zabrak,female,1.78,86.1,,brown,tan,unknown,kamino,486.2,A Zabrak Female from Kamino.,,Non-Human
194,zen organa,wookiee,male,2.26,113.6,brown,brown,brown,300.7ABY,jakku,,A Wookiee Male from Jakku.,-300.7,Non-Human
196,plo fett,human,female,1.79,,blond,blue,light,60.4BBY,geonosis,137.6,A Human Female from Geonosis.,60.4,Human
197,cass erso,twi'lek,male,1.8,54.5,,brown,pink,118.5BBY,kamino,,A Twi'lek Male from Kamino.,118.5,Non-Human
198,cody walker,zabrak,male,1.92,73.4,black,red,yellow,460.2BBY,mon cala,512.7,A Zabrak Male from Mon Cala.,460.2,Non-Human
199,jax walker,rodian,male,1.78,78.2,,black,blue-green,153.3BBY,mon cala,,A Rodian Male from Mon Cala.,153.3,Non-Human
200,k-2 wind,wookiee,male,2.26,,grey,blue,dark,unknown,exegol,,A Wookiee Male from Exegol.,,Non-Human
201,sora erso,human,female,1.66,77.9,brown,grey,dark,411.3BBY,kamino,449.8,A Human Female from Kamino.,411.3,Human
202,echo star,mon calamari,male,1.81,76.2,,yellow,blue,289.0BBY,rodia,,A Mon Calamari Male from Rodia.,289.0,Non-Human
203,rey dameron,rodian,female,1.67,67.3,,black,green,12.6ABY,naboo,97.0,A Rodian Female from Naboo.,-12.6,Non-Human
204,sora ti,human,female,1.94,63.1,grey,hazel,fair,unknown,kamino,476.5,A Human Female from Kamino.,,Human
205,bodhi vader,wookiee,female,2.15,154.4,brown,brown,dark,305.5BBY,sullust,405.3,A Wookiee Female from Sullust.,305.5,Non-Human
206,voolv erso,human,male,1.67,99.0,brown,blue,fair,210.8BBY,tatooine,297.2,A Human Male from Tatooine.,210.8,Human
207,poe moon,wookiee,female,2.05,88.5,white,brown,dark,207.2BBY,geonosis,238.7,A Wookiee Female from Geonosis.,207.2,Non-Human
208,rex organa,human,male,1.81,74.0,,hazel,pale,81.7BBY,jakku,,A Human Male from Jakku.,81.7,Human
209,finn organa,human,female,1.61,,black,brown,dark,25.7BBY,bespin,,A Human Female from Bespin.,25.7,Human
210,luma wind,human,male,1.77,52.8,,brown,dark,107.5BBY,takodana,148.5,A Human Male from Takodana.,107.5,Human
211,rey rex,twi'lek,female,1.74,53.2,,blue,green,210.1BBY,mon cala,,A Twi'lek Female from Mon Cala.,210.1,Non-Human
212,luma koon,human,male,1.81,107.0,brown,hazel,tan,468.9BBY,coruscant,,A Human Male from Coruscant.,468.9,Human
213,rey dark,gungan,male,2.11,76.9,,orange,brown,319.1BBY,kashyyyk,,A Gungan Male from Kashyyyk.,319.1,Non-Human
215,kira erso,human,male,1.66,63.6,grey,green,fair,44.2BBY,dagobah,140.9,A Human Male from Dagobah.,44.2,Human
216,padm dark,human,female,1.9,58.1,grey,brown,fair,342.1BBY,takodana,,A Human Female from Takodana.,342.1,Human
217,echo amidala,jawa,male,1.25,35.2,,orange,brown,221.9BBY,naboo,,A Jawa Male from Naboo.,221.9,Non-Human
218,bodhi walker,rodian,female,1.52,71.6,,black,blue-green,unknown,dagobah,443.6,A Rodian Female from Dagobah.,,Non-Human
219,baze moon,human,male,1.81,75.4,brown,brown,tan,248.1BBY,endor,272.7,A Human Male from Endor.,248.1,Human
220,mace wind,mon calamari,male,1.77,,,blue,blue,355.0BBY,alderaan,,A Mon Calamari Male from Alderaan.,355.0,Non-Human
221,zen light,rodian,female,1.55,70.0,,black,blue-green,399.5BBY,mon cala,453.5,A Rodian Female from Mon Cala.,399.5,Non-Human
222,jyn storm,human,male,1.88,67.3,brown,blue,fair,128.2BBY,coruscant,164.9,A Human Male from Coruscant.,128.2,Human
223,cody fisto,hutt,hermaphrodite,4.27,1119.0,,yellow,green,270.4BBY,dagobah,357.1,A Hutt Hermaphrodite from Dagobah.,270.4,Non-Human
